symbol,window_days,hour_et,model,samples,l1,l2,l3,l4
AAPL,90,0,AGG,0,,,,
AAPL,90,0,CON,0,,,,
AAPL,90,0,WIDE,0,,,,
AAPL,90,1,AGG,0,,,,
AAPL,90,1,CON,0,,,,
AAPL,90,1,WIDE,0,,,,
AAPL,90,2,AGG,0,,,,
AAPL,90,2,CON,0,,,,
AAPL,90,2,WIDE,0,,,,
AAPL,90,3,AGG,0,,,,
AAPL,90,3,CON,0,,,,
AAPL,90,3,WIDE,0,,,,
AAPL,90,4,AGG,0,,,,
AAPL,90,4,CON,0,,,,
AAPL,90,4,WIDE,0,,,,
AAPL,90,5,AGG,0,,,,
AAPL,90,5,CON,0,,,,
AAPL,90,5,WIDE,0,,,,
AAPL,90,6,AGG,0,,,,
AAPL,90,6,CON,0,,,,
AAPL,90,6,WIDE,0,,,,
AAPL,90,7,AGG,0,,,,
AAPL,90,7,CON,0,,,,
AAPL,90,7,WIDE,0,,,,
AAPL,90,8,AGG,0,,,,
AAPL,90,8,CON,0,,,,
AAPL,90,8,WIDE,0,,,,
AAPL,90,9,AGG,63,3.23439,3.79311,4.35184,3.01928
AAPL,90,9,CON,63,4.57533,5.13406,5.69278,4.36022
AAPL,90,9,WIDE,63,5.46929,6.02802,6.58674,5.25418
AAPL,90,10,AGG,63,1.71532,2.01163,2.30794,1.60124
AAPL,90,10,CON,63,2.42647,2.72278,3.0191,2.31239
AAPL,90,10,WIDE,63,2.90057,3.19688,3.4932,2.78649
AAPL,90,11,AGG,63,1.35144,1.58489,1.81835,1.26156
AAPL,90,11,CON,63,1.91173,2.14518,2.37864,1.82185
AAPL,90,11,WIDE,63,2.28526,2.51871,2.75217,2.19538
AAPL,90,12,AGG,63,1.35863,1.59332,1.82802,1.26827
AAPL,90,12,CON,63,1.9219,2.15659,2.39129,1.83154
AAPL,90,12,WIDE,63,2.29741,2.53211,2.7668,2.20705
AAPL,90,13,AGG,63,1.04691,1.22776,1.4086,0.97728
AAPL,90,13,CON,63,1.48094,1.66179,1.84264,1.41132
AAPL,90,13,WIDE,63,1.7703,1.95115,2.132,1.70067
AAPL,90,14,AGG,63,1.14114,1.33826,1.53539,1.06524
AAPL,90,14,CON,63,1.61424,1.81137,2.00849,1.53835
AAPL,90,14,WIDE,63,1.92964,2.12677,2.3239,1.85375
AAPL,90,15,AGG,63,1.1331,1.32883,1.52457,1.05774
AAPL,90,15,CON,63,1.60286,1.7986,1.99434,1.52751
AAPL,90,15,WIDE,63,1.91604,2.11178,2.30752,1.84068
AAPL,90,16,AGG,0,,,,
AAPL,90,16,CON,0,,,,
AAPL,90,16,WIDE,0,,,,
AAPL,90,17,AGG,0,,,,
AAPL,90,17,CON,0,,,,
AAPL,90,17,WIDE,0,,,,
AAPL,90,18,AGG,0,,,,
AAPL,90,18,CON,0,,,,
AAPL,90,18,WIDE,0,,,,
AAPL,90,19,AGG,0,,,,
AAPL,90,19,CON,0,,,,
AAPL,90,19,WIDE,0,,,,
AAPL,90,20,AGG,0,,,,
AAPL,90,20,CON,0,,,,
AAPL,90,20,WIDE,0,,,,
AAPL,90,21,AGG,0,,,,
AAPL,90,21,CON,0,,,,
AAPL,90,21,WIDE,0,,,,
AAPL,90,22,AGG,0,,,,
AAPL,90,22,CON,0,,,,
AAPL,90,22,WIDE,0,,,,
AAPL,90,23,AGG,0,,,,
AAPL,90,23,CON,0,,,,
AAPL,90,23,WIDE,0,,,,
AAPL,180,0,AGG,0,,,,
AAPL,180,0,CON,0,,,,
AAPL,180,0,WIDE,0,,,,
AAPL,180,1,AGG,0,,,,
AAPL,180,1,CON,0,,,,
AAPL,180,1,WIDE,0,,,,
AAPL,180,2,AGG,0,,,,
AAPL,180,2,CON,0,,,,
AAPL,180,2,WIDE,0,,,,
AAPL,180,3,AGG,0,,,,
AAPL,180,3,CON,0,,,,
AAPL,180,3,WIDE,0,,,,
AAPL,180,4,AGG,0,,,,
AAPL,180,4,CON,0,,,,
AAPL,180,4,WIDE,0,,,,
AAPL,180,5,AGG,0,,,,
AAPL,180,5,CON,0,,,,
AAPL,180,5,WIDE,0,,,,
AAPL,180,6,AGG,0,,,,
AAPL,180,6,CON,0,,,,
AAPL,180,6,WIDE,0,,,,
AAPL,180,7,AGG,0,,,,
AAPL,180,7,CON,0,,,,
AAPL,180,7,WIDE,0,,,,
AAPL,180,8,AGG,0,,,,
AAPL,180,8,CON,0,,,,
AAPL,180,8,WIDE,0,,,,
AAPL,180,9,AGG,124,3.13147,3.67241,4.21336,2.9232
AAPL,180,9,CON,124,4.42974,4.97069,5.51163,4.22148
AAPL,180,9,WIDE,124,5.29525,5.8362,6.37715,5.08699
AAPL,180,10,AGG,124,1.67108,1.95975,2.24842,1.55994
AAPL,180,10,CON,124,2.36389,2.65256,2.94123,2.25275
AAPL,180,10,WIDE,124,2.82576,3.11443,3.40311,2.71462
AAPL,180,11,AGG,124,1.32603,1.5551,1.78416,1.23784
AAPL,180,11,CON,124,1.87579,2.10486,2.33392,1.7876
AAPL,180,11,WIDE,124,2.2423,2.47136,2.70043,2.15411
AAPL,180,12,AGG,123,1.255,1.47179,1.68859,1.17153
AAPL,180,12,CON,123,1.77531,1.9921,2.2089,1.69184
AAPL,180,12,WIDE,123,2.12218,2.33897,2.55577,2.03871
AAPL,180,13,AGG,123,1.07719,1.26327,1.44935,1.00555
AAPL,180,13,CON,123,1.52378,1.70986,1.89594,1.45214
AAPL,180,13,WIDE,123,1.82151,2.00759,2.19367,1.74987
AAPL,180,14,AGG,123,1.19341,1.39956,1.60572,1.11404
AAPL,180,14,CON,123,1.68818,1.89434,2.10049,1.60881
AAPL,180,14,WIDE,123,2.01803,2.22419,2.43034,1.93866
AAPL,180,15,AGG,123,1.18578,1.39062,1.59545,1.10692
AAPL,180,15,CON,123,1.67739,1.88223,2.08706,1.59853
AAPL,180,15,WIDE,123,2.00513,2.20997,2.41481,1.92627
AAPL,180,16,AGG,0,,,,
AAPL,180,16,CON,0,,,,
AAPL,180,16,WIDE,0,,,,
AAPL,180,17,AGG,0,,,,
AAPL,180,17,CON,0,,,,
AAPL,180,17,WIDE,0,,,,
AAPL,180,18,AGG,0,,,,
AAPL,180,18,CON,0,,,,
AAPL,180,18,WIDE,0,,,,
AAPL,180,19,AGG,0,,,,
AAPL,180,19,CON,0,,,,
AAPL,180,19,WIDE,0,,,,
AAPL,180,20,AGG,0,,,,
AAPL,180,20,CON,0,,,,
AAPL,180,20,WIDE,0,,,,
AAPL,180,21,AGG,0,,,,
AAPL,180,21,CON,0,,,,
AAPL,180,21,WIDE,0,,,,
AAPL,180,22,AGG,0,,,,
AAPL,180,22,CON,0,,,,
AAPL,180,22,WIDE,0,,,,
AAPL,180,23,AGG,0,,,,
AAPL,180,23,CON,0,,,,
AAPL,180,23,WIDE,0,,,,
AAPL,365,0,AGG,0,,,,
AAPL,365,0,CON,0,,,,
AAPL,365,0,WIDE,0,,,,
AAPL,365,1,AGG,0,,,,
AAPL,365,1,CON,0,,,,
AAPL,365,1,WIDE,0,,,,
AAPL,365,2,AGG,0,,,,
AAPL,365,2,CON,0,,,,
AAPL,365,2,WIDE,0,,,,
AAPL,365,3,AGG,0,,,,
AAPL,365,3,CON,0,,,,
AAPL,365,3,WIDE,0,,,,
AAPL,365,4,AGG,0,,,,
AAPL,365,4,CON,0,,,,
AAPL,365,4,WIDE,0,,,,
AAPL,365,5,AGG,0,,,,
AAPL,365,5,CON,0,,,,
AAPL,365,5,WIDE,0,,,,
AAPL,365,6,AGG,0,,,,
AAPL,365,6,CON,0,,,,
AAPL,365,6,WIDE,0,,,,
AAPL,365,7,AGG,0,,,,
AAPL,365,7,CON,0,,,,
AAPL,365,7,WIDE,0,,,,
AAPL,365,8,AGG,0,,,,
AAPL,365,8,CON,0,,,,
AAPL,365,8,WIDE,0,,,,
AAPL,365,9,AGG,251,2.86714,3.36243,3.85771,2.67646
AAPL,365,9,CON,251,4.05583,4.55111,5.0464,3.86514
AAPL,365,9,WIDE,251,4.84829,5.34357,5.83886,4.6576
AAPL,365,10,AGG,251,1.56479,1.8351,2.10541,1.46072
AAPL,365,10,CON,251,2.21354,2.48385,2.75416,2.10947
AAPL,365,10,WIDE,251,2.64603,2.91634,3.18665,2.54196
AAPL,365,11,AGG,251,1.2236,1.43497,1.64635,1.14222
AAPL,365,11,CON,251,1.7309,1.94227,2.15364,1.64952
AAPL,365,11,WIDE,251,2.06909,2.28046,2.49183,1.98771
AAPL,365,12,AGG,248,1.18205,1.38624,1.59044,1.10343
AAPL,365,12,CON,248,1.67211,1.87631,2.0805,1.5935
AAPL,365,12,WIDE,248,1.99882,2.20302,2.40721,1.92021
AAPL,365,13,AGG,248,1.04248,1.22257,1.40265,0.97315
AAPL,365,13,CON,248,1.47469,1.65477,1.83485,1.40535
AAPL,365,13,WIDE,248,1.76282,1.9429,2.12299,1.69349
AAPL,365,14,AGG,248,1.06796,1.25245,1.43693,0.99693
AAPL,365,14,CON,248,1.51073,1.69521,1.8797,1.4397
AAPL,365,14,WIDE,248,1.8059,1.99039,2.17487,1.73487
AAPL,365,15,AGG,249,1.07512,1.26084,1.44656,1.00362
AAPL,365,15,CON,249,1.52085,1.70657,1.8923,1.44935
AAPL,365,15,WIDE,249,1.81801,2.00373,2.18945,1.7465
AAPL,365,16,AGG,0,,,,
AAPL,365,16,CON,0,,,,
AAPL,365,16,WIDE,0,,,,
AAPL,365,17,AGG,0,,,,
AAPL,365,17,CON,0,,,,
AAPL,365,17,WIDE,0,,,,
AAPL,365,18,AGG,0,,,,
AAPL,365,18,CON,0,,,,
AAPL,365,18,WIDE,0,,,,
AAPL,365,19,AGG,0,,,,
AAPL,365,19,CON,0,,,,
AAPL,365,19,WIDE,0,,,,
AAPL,365,20,AGG,0,,,,
AAPL,365,20,CON,0,,,,
AAPL,365,20,WIDE,0,,,,
AAPL,365,21,AGG,0,,,,
AAPL,365,21,CON,0,,,,
AAPL,365,21,WIDE,0,,,,
AAPL,365,22,AGG,0,,,,
AAPL,365,22,CON,0,,,,
AAPL,365,22,WIDE,0,,,,
AAPL,365,23,AGG,0,,,,
AAPL,365,23,CON,0,,,,
AAPL,365,23,WIDE,0,,,,
AAPL,500,0,AGG,0,,,,
AAPL,500,0,CON,0,,,,
AAPL,500,0,WIDE,0,,,,
AAPL,500,1,AGG,0,,,,
AAPL,500,1,CON,0,,,,
AAPL,500,1,WIDE,0,,,,
AAPL,500,2,AGG,0,,,,
AAPL,500,2,CON,0,,,,
AAPL,500,2,WIDE,0,,,,
AAPL,500,3,AGG,0,,,,
AAPL,500,3,CON,0,,,,
AAPL,500,3,WIDE,0,,,,
AAPL,500,4,AGG,0,,,,
AAPL,500,4,CON,0,,,,
AAPL,500,4,WIDE,0,,,,
AAPL,500,5,AGG,0,,,,
AAPL,500,5,CON,0,,,,
AAPL,500,5,WIDE,0,,,,
AAPL,500,6,AGG,0,,,,
AAPL,500,6,CON,0,,,,
AAPL,500,6,WIDE,0,,,,
AAPL,500,7,AGG,0,,,,
AAPL,500,7,CON,0,,,,
AAPL,500,7,WIDE,0,,,,
AAPL,500,8,AGG,0,,,,
AAPL,500,8,CON,0,,,,
AAPL,500,8,WIDE,0,,,,
AAPL,500,9,AGG,344,2.98198,3.4971,4.01222,2.78366
AAPL,500,9,CON,344,4.21827,4.7334,5.24852,4.01995
AAPL,500,9,WIDE,344,5.04247,5.55759,6.07272,4.84415
AAPL,500,10,AGG,344,1.65701,1.94325,2.2295,1.54681
AAPL,500,10,CON,344,2.34399,2.63023,2.91648,2.23379
AAPL,500,10,WIDE,344,2.80198,3.08822,3.37446,2.69178
AAPL,500,11,AGG,344,1.32538,1.55433,1.78328,1.23723
AAPL,500,11,CON,344,1.87486,2.10382,2.33277,1.78672
AAPL,500,11,WIDE,344,2.24119,2.47014,2.6991,2.15304
AAPL,500,12,AGG,341,1.28503,1.50701,1.729,1.19957
AAPL,500,12,CON,341,1.81779,2.03977,2.26176,1.73233
AAPL,500,12,WIDE,341,2.17296,2.39495,2.61693,2.0875
AAPL,500,13,AGG,341,1.14251,1.33987,1.53723,1.06652
AAPL,500,13,CON,341,1.61618,1.81354,2.01091,1.5402
AAPL,500,13,WIDE,341,1.93196,2.12932,2.32669,1.85598
AAPL,500,14,AGG,342,1.15445,1.35388,1.55331,1.07767
AAPL,500,14,CON,342,1.63308,1.8325,2.03193,1.5563
AAPL,500,14,WIDE,342,1.95216,2.15159,2.35101,1.87538
AAPL,500,15,AGG,342,1.18191,1.38608,1.59025,1.1033
AAPL,500,15,CON,342,1.67192,1.87608,2.08025,1.59331
AAPL,500,15,WIDE,342,1.99859,2.20276,2.40693,1.91998
AAPL,500,16,AGG,0,,,,
AAPL,500,16,CON,0,,,,
AAPL,500,16,WIDE,0,,,,
AAPL,500,17,AGG,0,,,,
AAPL,500,17,CON,0,,,,
AAPL,500,17,WIDE,0,,,,
AAPL,500,18,AGG,0,,,,
AAPL,500,18,CON,0,,,,
AAPL,500,18,WIDE,0,,,,
AAPL,500,19,AGG,0,,,,
AAPL,500,19,CON,0,,,,
AAPL,500,19,WIDE,0,,,,
AAPL,500,20,AGG,0,,,,
AAPL,500,20,CON,0,,,,
AAPL,500,20,WIDE,0,,,,
AAPL,500,21,AGG,0,,,,
