symbol,date_et,hour_et,open,high,low,close,range
AAPL,2024-05-30,9,190.785,192.1,190.63,191.445,1.47
AAPL,2024-05-30,10,191.45,191.824,191.0,191.695,0.82401
AAPL,2024-05-30,11,191.67,191.75,191.1,191.26,0.64999
AAPL,2024-05-30,12,191.26,192.14,191.205,192.0787,0.935
AAPL,2024-05-30,13,192.08,192.18,191.36,191.535,0.81999
AAPL,2024-05-30,14,191.5367,191.8,191.41,191.565,0.39
AAPL,2024-05-30,15,191.58,191.84,190.85,191.29,0.98999
AAPL,2024-05-31,9,191.44,192.57,191.27,191.69,1.3
AAPL,2024-05-31,10,191.69,191.97,190.1,190.41,1.87
AAPL,2024-05-31,11,190.39,190.7074,189.91,190.1972,0.79739
AAPL,2024-05-31,12,190.2,190.59,189.91,190.57,0.67999
AAPL,2024-05-31,13,190.57,190.82,190.38,190.555,0.44
AAPL,2024-05-31,14,190.55,191.2698,190.33,191.03,0.9398
AAPL,2024-05-31,15,191.02,192.49,190.9,192.47,1.59001
AAPL,2024-06-03,9,192.98,194.99,192.53,194.835,2.46001
AAPL,2024-06-03,10,194.83,194.92,193.58,194.13,1.34
AAPL,2024-06-03,11,194.12,194.39,193.24,193.2894,1.14999
AAPL,2024-06-03,12,193.28,193.8264,192.84,193.79,0.9864
AAPL,2024-06-03,13,193.76,194.055,193.09,193.1,0.965
AAPL,2024-06-03,14,193.1,193.52,192.9101,193.354,0.60991
AAPL,2024-06-03,15,193.36,194.11,193.28,194.09,0.83
AAPL,2024-06-04,9,194.72,195.0,193.0342,194.03,1.96581
AAPL,2024-06-04,10,194.025,194.4,193.66,194.05,0.73999
AAPL,2024-06-04,11,194.055,194.49,193.715,194.47,0.77501
AAPL,2024-06-04,12,194.47,194.82,194.34,194.805,0.48001
AAPL,2024-06-04,13,194.81,195.32,194.41,195.235,0.91
AAPL,2024-06-04,14,195.23,195.32,193.93,194.5072,1.39001
AAPL,2024-06-04,15,194.505,194.87,194.18,194.365,0.69
AAPL,2024-06-05,9,195.42,196.42,194.88,195.375,1.53999
AAPL,2024-06-05,10,195.38,196.17,195.195,196.14,0.97499
AAPL,2024-06-05,11,196.14,196.9,195.82,195.925,1.07999
AAPL,2024-06-05,12,195.92,196.26,195.6001,195.8852,0.6599
